date,time,minutes,category,activity,member
2022-08-19,12:00,4,Reference & Learning,Search,e
2022-08-19,12:00,4,News & Opinion,General,e
2022-08-19,12:00,4,Social Networking,General,e
2022-08-19,12:00,3,Utilities,General,e
2022-08-19,12:00,3,Social Networking,General,e
2022-08-19,12:00,3,Reference & Learning,Search,e
2022-08-19,12:00,3,Entertainment,Video,e
2022-08-19,12:00,3,News & Opinion,General,e
2022-08-19,12:00,3,Reference & Learning,Search,e
2022-08-19,12:00,3,Reference & Learning,Search,e
2022-08-19,12:00,3,News & Opinion,General,e
2022-08-19,12:00,3,News & Opinion,General,e
2022-08-19,13:00,976,Uncategorized,Uncategorized,e
2022-08-19,13:00,563,Reference & Learning,Search,e
2022-08-19,13:00,324,Shopping,General,e
2022-08-19,13:00,296,Entertainment,Video,e
2022-08-19,13:00,206,Communication & Scheduling,General,e
2022-08-19,13:00,182,Entertainment,Games,e
2022-08-19,13:00,179,Communication & Scheduling,General,e
2022-08-19,13:00,147,News & Opinion,General,e
2022-08-19,13:00,144,Communication & Scheduling,General,e
2022-08-19,13:00,102,Uncategorized,Uncategorized,e
2022-08-19,13:00,88,Entertainment,Music,e
2022-08-19,13:00,85,Utilities,General,e
2022-08-19,13:00,74,Entertainment,Video,e
2022-08-19,13:00,74,News & Opinion,General,e
2022-08-19,13:00,67,Uncategorized,Uncategorized,e
2022-08-19,13:00,61,Other Work,Communications,e
2022-08-19,13:00,60,Other Work,Communications,e
2022-08-19,13:00,55,Communication & Scheduling,General,e
2022-08-19,13:00,49,Reference & Learning,Search,e
2022-08-19,13:00,49,Entertainment,Video,e
2022-08-19,13:00,41,News & Opinion,General,e
2022-08-19,13:00,38,Reference & Learning,Search,e
2022-08-19,13:00,38,Communication & Scheduling,General,e
2022-08-19,13:00,30,Reference & Learning,Search,e
2022-08-19,13:00,30,Communication & Scheduling,Instant Message,e
2022-08-19,13:00,28,Uncategorized,Uncategorized,e
2022-08-19,13:00,27,Uncategorized,Uncategorized,e
2022-08-19,13:00,26,Uncategorized,Uncategorized,e
2022-08-19,13:00,23,Utilities,General,e
2022-08-19,13:00,22,Social Networking,General,e
2022-08-19,13:00,22,Uncategorized,Uncategorized,e
2022-08-19,13:00,19,Entertainment,Video,e
2022-08-19,13:00,18,Communication & Scheduling,General,e
2022-08-19,13:00,17,Communication & Scheduling,Email,e
2022-08-19,13:00,17,Social Networking,General,e
2022-08-19,13:00,16,Reference & Learning,Search,e
2022-08-19,13:00,16,Social Networking,General,e
2022-08-19,13:00,13,Entertainment,Video,e
2022-08-19,13:00,12,Uncategorized,Uncategorized,e
2022-08-19,13:00,12,Entertainment,Games,e
2022-08-19,13:00,11,Other Work,Communications,e
2022-08-19,13:00,10,Reference & Learning,Search,e
2022-08-19,13:00,9,Reference & Learning,Search,e
2022-08-19,13:00,9,Utilities,General,e
2022-08-19,13:00,9,Software Development,General,e
2022-08-19,13:00,8,News & Opinion,General,e
2022-08-19,13:00,8,Utilities,General,e
2022-08-19,13:00,7,Communication & Scheduling,General,e
2022-08-19,13:00,6,Social Networking,General,e
2022-08-19,13:00,5,Social Networking,General,e
2022-08-19,13:00,5,Software Development,General,e
2022-08-19,13:00,4,Social Networking,General,e
2022-08-19,13:00,4,Social Networking,General,e
2022-08-19,13:00,4,Social Networking,General,e
2022-08-19,13:00,4,Utilities,Browsers,e
2022-08-19,13:00,4,Other Work,Communications,e
2022-08-19,13:00,4,Entertainment,Video,e
2022-08-19,13:00,4,Entertainment,Video,e
2022-08-19,13:00,4,Entertainment,Video,e
2022-08-19,13:00,4,Software Development,General,e
2022-08-19,13:00,4,Reference & Learning,General,e
2022-08-19,13:00,4,Software Development,General,e
2022-08-19,13:00,4,Uncategorized,Uncategorized,e
2022-08-19,13:00,3,Reference & Learning,Search,e
2022-08-19,13:00,3,Other Work,Communications,e
2022-08-19,13:00,3,Utilities,General,e
2022-08-19,13:00,3,Software Development,Quality Assurance,e
2022-08-19,13:00,3,Shopping,Electronics,e
2022-08-19,14:00,544,Uncategorized,Uncategorized,e
2022-08-19,14:00,243,Uncategorized,Uncategorized,e
2022-08-19,14:00,123,Software Development,General,e
2022-08-19,14:00,93,Software Development,General,e
2022-08-19,14:00,87,Entertainment,Music,e
2022-08-19,14:00,65,Social Networking,General,e
2022-08-19,14:00,65,Software Development,General,e
2022-08-19,14:00,52,Software Development,General,e
2022-08-19,14:00,52,Software Development,General,e
2022-08-19,14:00,52,Software Development,General,e
2022-08-19,14:00,49,Software Development,General,e
2022-08-19,14:00,45,Software Development,Editing & IDEs,e
2022-08-19,14:00,45,Uncategorized,Uncategorized,e
2022-08-19,14:00,44,Software Development,General,e
2022-08-19,14:00,43,Communication & Scheduling,General,e
2022-08-19,14:00,38,Entertainment,General,e
2022-08-19,14:00,36,Software Development,General,e
2022-08-19,14:00,35,Software Development,Editing & IDEs,e
2022-08-19,14:00,35,Software Development,General,e
2022-08-19,14:00,34,Software Development,Editing & IDEs,e
2022-08-19,14:00,32,Software Development,General,e
2022-08-19,14:00,29,Software Development,General,e
2022-08-19,14:00,29,Software Development,General,e
2022-08-19,14:00,29,Software Development,General,e
2022-08-19,14:00,28,Software Development,General,e
2022-08-19,14:00,27,Social Networking,General,e
2022-08-19,14:00,27,Software Development,General,e
2022-08-19,14:00,26,Software Development,Editing & IDEs,e
2022-08-19,14:00,24,Software Development,Editing & IDEs,e
2022-08-19,14:00,24,Software Development,General,e
2022-08-19,14:00,24,Software Development,General,e
2022-08-19,14:00,23,Software Development,General,e
2022-08-19,14:00,22,Software Development,Editing & IDEs,e
2022-08-19,14:00,21,Software Development,Editing & IDEs,e
2022-08-19,14:00,20,Social Networking,General,e
2022-08-19,14:00,19,Other Work,Communications,e
2022-08-19,14:00,19,Software Development,General,e
2022-08-19,14:00,18,Software Development,General,e
2022-08-19,14:00,18,Social Networking,General,e
2022-08-19,14:00,18,Software Development,General,e
2022-08-19,14:00,18,Software Development,General,e
2022-08-19,14:00,17,Other Work,Communications,e
2022-08-19,14:00,17,Software Development,General,e
2022-08-19,14:00,16,Software Development,General,e
2022-08-19,14:00,15,Software Development,Editing & IDEs,e
2022-08-19,14:00,15,Social Networking,General,e
2022-08-19,14:00,15,Utilities,Browsers,e
2022-08-19,14:00,14,Software Development,Editing & IDEs,e
2022-08-19,14:00,14,Software Development,Editing & IDEs,e
2022-08-19,14:00,14,Uncategorized,Uncategorized,e
2022-08-19,14:00,14,Uncategorized,Uncategorized,e
2022-08-19,14:00,13,Communication & Scheduling,Instant Message,e
2022-08-19,14:00,13,Utilities,Browsers,e
2022-08-19,14:00,12,Software Development,General,e
2022-08-19,14:00,12,News & Opinion,General,e
2022-08-19,14:00,11,Software Development,Editing & IDEs,e
2022-08-19,14:00,11,Software Development,General,e
2022-08-19,14:00,10,Software Development,General,e
2022-08-19,14:00,10,Software Development,General,e
2022-08-19,14:00,10,Uncategorized,Uncategorized,e
2022-08-19,14:00,10,Utilities,General,e
2022-08-19,14:00,9,News & Opinion,General,e
2022-08-19,14:00,9,Software Development,General,e
2022-08-19,14:00,9,Software Development,General,e
2022-08-19,14:00,8,Software Development,General,e
2022-08-19,14:00,8,Software Development,General,e
2022-08-19,14:00,8,Social Networking,General,e
2022-08-19,14:00,8,Software Development,General,e
2022-08-19,14:00,8,Software Development,General,e
2022-08-19,14:00,7,Software Development,Editing & IDEs,e
2022-08-19,14:00,7,Software Development,Editing & IDEs,e
2022-08-19,14:00,7,Software Development,General,e
2022-08-19,14:00,7,Software Development,General,e
2022-08-19,14:00,7,Utilities,Browsers,e
2022-08-19,14:00,6,Utilities,Browsers,e
2022-08-19,14:00,6,Uncategorized,Uncategorized,e
2022-08-19,14:00,6,Software Development,General,e
2022-08-19,14:00,6,Uncategorized,Uncategorized,e
2022-08-19,14:00,6,Software Development,General,e
2022-08-19,14:00,5,Software Development,General,e
2022-08-19,14:00,5,Reference & Learning,Search,e
2022-08-19,14:00,5,Utilities,General,e
2022-08-19,14:00,5,Software Development,General,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Other Work,Communications,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Communication & Scheduling,Calendars,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Uncategorized,Uncategorized,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Social Networking,Professional Networking,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Utilities,General,e
2022-08-19,14:00,4,Social Networking,General,e
2022-08-19,14:00,4,Design & Composition,General,e
2022-08-19,14:00,4,News & Opinion,General,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Reference & Learning,Engineering & Technology,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Utilities,Browsers,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Software Development,General,e
2022-08-19,14:00,4,Other Work,Communications,e
2022-08-19,14:00,4,Software Development,Editing & IDEs,e
2022-08-19,14:00,4,Other Work,Communications,e
2022-08-19,14:00,3,Software Development,General,e
2022-08-19,14:00,3,Software Development,General,e
2022-08-19,14:00,3,Software Development,General,e
2022-08-19,14:00,3,Software Development,General,e
2022-08-19,14:00,3,Utilities,Browsers,e
2022-08-19,15:00,493,Other Work,Communications,e
2022-08-19,15:00,390,Software Development,General,e
2022-08-19,15:00,300,Social Networking,General,e
2022-08-19,15:00,169,Uncategorized,Uncategorized,e
2022-08-19,15:00,157,Software Development,Editing & IDEs,e
2022-08-19,15:00,119,Software Development,General,e
2022-08-19,15:00,109,Uncategorized,Uncategorized,e
2022-08-19,15:00,103,Software Development,General,e
2022-08-19,15:00,93,Social Networking,General,e
2022-08-19,15:00,91,Software Development,Editing & IDEs,e
2022-08-19,15:00,91,Social Networking,General,e
2022-08-19,15:00,90,Software Development,Editing & IDEs,e
2022-08-19,15:00,89,Software Development,General,e
2022-08-19,15:00,80,Software Development,Editing & IDEs,e
2022-08-19,15:00,79,Uncategorized,Uncategorized,e
2022-08-19,15:00,79,Software Development,Editing & IDEs,e
2022-08-19,15:00,74,Software Development,General,e
2022-08-19,15:00,73,Software Development,Editing & IDEs,e
2022-08-19,15:00,56,Social Networking,General,e
2022-08-19,15:00,52,Software Development,Editing & IDEs,e
2022-08-19,15:00,50,Software Development,General,e
2022-08-19,15:00,49,Software Development,Editing & IDEs,e
2022-08-19,15:00,45,Social Networking,General,e
2022-08-19,15:00,38,Reference & Learning,Engineering & Technology,e
2022-08-19,15:00,35,Software Development,Editing & IDEs,e
2022-08-19,15:00,32,Software Development,Editing & IDEs,e
2022-08-19,15:00,32,Software Development,General,e
2022-08-19,15:00,31,Software Development,Editing & IDEs,e
2022-08-19,15:00,29,Reference & Learning,Search,e
2022-08-19,15:00,28,Software Development,Editing & IDEs,e
2022-08-19,15:00,20,Social Networking,General,e
2022-08-19,15:00,19,Software Development,General,e
2022-08-19,15:00,18,Software Development,General,e
2022-08-19,15:00,18,Entertainment,Music,e
2022-08-19,15:00,18,Software Development,Editing & IDEs,e
2022-08-19,15:00,18,Social Networking,General,e
2022-08-19,15:00,16,Utilities,General,e
2022-08-19,15:00,15,Software Development,Editing & IDEs,e
2022-08-19,15:00,15,Utilities,Browsers,e
2022-08-19,15:00,15,Software Development,General,e
2022-08-19,15:00,14,Software Development,General,e
2022-08-19,15:00,14,Entertainment,Games,e
2022-08-19,15:00,13,Software Development,Editing & IDEs,e
2022-08-19,15:00,13,Reference & Learning,Search,e
2022-08-19,15:00,12,Entertainment,Games,e
2022-08-19,15:00,11,Software Development,Editing & IDEs,e
2022-08-19,15:00,10,Software Development,General,e
2022-08-19,15:00,9,Uncategorized,Uncategorized,e
2022-08-19,15:00,8,Software Development,General,e
2022-08-19,15:00,6,Software Development,General,e
2022-08-19,15:00,6,Software Development,General,e
2022-08-19,15:00,6,Software Development,General,e
2022-08-19,15:00,6,Software Development,Editing & IDEs,e
2022-08-19,15:00,6,Software Development,General,e
2022-08-19,15:00,5,Utilities,Browsers,e
2022-08-19,15:00,5,Reference & Learning,Search,e
2022-08-19,15:00,5,Software Development,General,e
2022-08-19,15:00,4,Social Networking,General,e
2022-08-19,15:00,4,Uncategorized,Uncategorized,e
2022-08-19,15:00,4,Software Development,Editing & IDEs,e
2022-08-19,15:00,4,Social Networking,General,e
2022-08-19,15:00,4,Uncategorized,Uncategorized,e
2022-08-19,15:00,4,Utilities,Browsers,e
2022-08-19,15:00,4,Software Development,General,e
2022-08-19,15:00,4,Software Development,General,e
2022-08-19,15:00,4,Software Development,General,e
2022-08-19,15:00,4,Software Development,General,e
2022-08-19,15:00,3,Software Development,General,e
2022-08-19,15:00,3,Software Development,Editing & IDEs,e
2022-08-19,15:00,2,Entertainment,Games,e
2022-08-19,16:00,568,Software Development,General,e
2022-08-19,16:00,462,Uncategorized,Uncategorized,e
2022-08-19,16:00,393,Entertainment,Games,e
2022-08-19,16:00,364,Uncategorized,Uncategorized,e
2022-08-19,16:00,342,Uncategorized,Uncategorized,e
2022-08-19,16:00,141,Software Development,Editing & IDEs,e
2022-08-19,16:00,111,Software Development,General,e
2022-08-19,16:00,105,Software Development,Editing & IDEs,e
2022-08-19,16:00,100,Software Development,General,e
2022-08-19,16:00,93,Other Work,Communications,e
2022-08-19,16:00,87,Uncategorized,Uncategorized,e
2022-08-19,16:00,75,Utilities,Browsers,e
2022-08-19,16:00,67,Software Development,General,e
2022-08-19,16:00,67,Software Development,General,e
2022-08-19,16:00,63,Software Development,General,e
2022-08-19,16:00,61,Software Development,Editing & IDEs,e
2022-08-19,16:00,33,Software Development,General,e
2022-08-19,16:00,30,Software Development,Editing & IDEs,e
2022-08-19,16:00,29,Communication & Scheduling,Instant Message,e
2022-08-19,16:00,28,Software Development,Editing & IDEs,e
2022-08-19,16:00,23,Software Development,General,e
2022-08-19,16:00,22,Utilities,General,e
2022-08-19,16:00,22,Software Development,Editing & IDEs,e
2022-08-19,16:00,20,Utilities,Browsers,e
2022-08-19,16:00,19,Software Development,General,e
2022-08-19,16:00,16,Communication & Scheduling,General,e
2022-08-19,16:00,15,Software Development,General,e
2022-08-19,16:00,11,Software Development,General,e
2022-08-19,16:00,9,Software Development,General,e
2022-08-19,16:00,8,Other Work,Communications,e
2022-08-19,16:00,7,Software Development,General,e
2022-08-19,16:00,7,Uncategorized,Uncategorized,e
2022-08-19,16:00,7,Software Development,General,e
2022-08-19,16:00,7,Utilities,Browsers,e
2022-08-19,16:00,7,Entertainment,Games,e
2022-08-19,16:00,6,Software Development,General,e
2022-08-19,16:00,6,Uncategorized,Uncategorized,e
2022-08-19,16:00,6,Software Development,Editing & IDEs,e
2022-08-19,16:00,6,Software Development,Editing & IDEs,e
2022-08-19,16:00,6,Software Development,General,e
2022-08-19,16:00,5,Entertainment,Games,e
2022-08-19,16:00,5,Software Development,General,e
2022-08-19,16:00,5,Software Development,General,e
2022-08-19,16:00,5,Utilities,Browsers,e
2022-08-19,16:00,5,Utilities,Browsers,e
2022-08-19,16:00,5,Software Development,General,e
2022-08-19,16:00,4,Software Development,General,e
2022-08-19,16:00,4,Software Development,General,e
2022-08-19,16:00,4,Software Development,General,e
2022-08-19,16:00,4,Software Development,Editing & IDEs,e
2022-08-19,16:00,4,Utilities,Browsers,e
2022-08-19,16:00,4,Software Development,General,e
2022-08-19,16:00,4,Software Development,General,e
2022-08-19,16:00,4,Utilities,General,e
2022-08-19,16:00,2,Entertainment,Games,e
2022-08-19,16:00,2,Entertainment,Games,e
2022-08-19,16:00,2,Entertainment,Games,e
2022-08-19,17:00,1485,Entertainment,Games,e
2022-08-19,17:00,386,Software Development,Editing & IDEs,e
2022-08-19,17:00,337,Software Development,Editing & IDEs,e
2022-08-19,17:00,297,Software Development,General,e
2022-08-19,17:00,176,Software Development,Editing & IDEs,e
2022-08-19,17:00,124,Software Development,Editing & IDEs,e
2022-08-19,17:00,98,Software Development,Editing & IDEs,e
2022-08-19,17:00,92,Software Development,Editing & IDEs,e
2022-08-19,17:00,76,Software Development,Editing & IDEs,e
2022-08-19,17:00,65,Software Development,Editing & IDEs,e
2022-08-19,17:00,53,Software Development,Editing & IDEs,e
2022-08-19,17:00,44,Software Development,Editing & IDEs,e
2022-08-19,17:00,41,Software Development,Editing & IDEs,e
2022-08-19,17:00,27,Software Development,Editing & IDEs,e
2022-08-19,17:00,26,Software Development,General,e
2022-08-19,17:00,25,Uncategorized,Uncategorized,e
2022-08-19,17:00,23,Software Development,Editing & IDEs,e
2022-08-19,17:00,16,Software Development,Editing & IDEs,e
2022-08-19,17:00,14,Entertainment,Music,e
2022-08-19,17:00,13,Reference & Learning,Search,e
2022-08-19,17:00,13,Utilities,Browsers,e
2022-08-19,17:00,12,Reference & Learning,Search,e
2022-08-19,17:00,11,Reference & Learning,Search,e
2022-08-19,17:00,11,Utilities,General,e
2022-08-19,17:00,10,Utilities,General,e
2022-08-19,17:00,10,Software Development,Editing & IDEs,e
2022-08-19,17:00,9,Software Development,Editing & IDEs,e
2022-08-19,17:00,8,Entertainment,Games,e
2022-08-19,17:00,8,Software Development,Editing & IDEs,e
2022-08-19,17:00,7,Software Development,Editing & IDEs,e
2022-08-19,17:00,6,Software Development,General,e
2022-08-19,17:00,6,Utilities,Browsers,e
2022-08-19,17:00,6,Software Development,Editing & IDEs,e
2022-08-19,17:00,5,Reference & Learning,Search,e
2022-08-19,17:00,5,Software Development,Editing & IDEs,e
2022-08-19,17:00,4,Software Development,Editing & IDEs,e
2022-08-19,17:00,4,Software Development,Editing & IDEs,e
2022-08-19,17:00,4,Software Development,Editing & IDEs,e
2022-08-19,17:00,4,Software Development,Editing & IDEs,e
2022-08-19,17:00,3,Other Work,Communications,e
2022-08-19,18:00,330,Software Development,General,e
2022-08-19,18:00,292,Reference & Learning,Search,e
2022-08-19,18:00,221,Other Work,Communications,e
2022-08-19,18:00,211,Software Development,Editing & IDEs,e
2022-08-19,18:00,196,Software Development,General,e
2022-08-19,18:00,178,Software Development,General,e
2022-08-19,18:00,176,Uncategorized,Uncategorized,e
2022-08-19,18:00,167,Other Work,Communications,e
2022-08-19,18:00,165,Other Work,Communications,e
2022-08-19,18:00,131,Software Development,Editing & IDEs,e
2022-08-19,18:00,119,Software Development,General,e
2022-08-19,18:00,118,Uncategorized,Uncategorized,e
2022-08-19,18:00,110,Software Development,Editing & IDEs,e
2022-08-19,18:00,81,Software Development,Editing & IDEs,e
2022-08-19,18:00,79,Software Development,Editing & IDEs,e
2022-08-19,18:00,70,Software Development,General,e
2022-08-19,18:00,62,Software Development,Editing & IDEs,e
2022-08-19,18:00,46,Software Development,General,e
2022-08-19,18:00,45,Software Development,Editing & IDEs,e
2022-08-19,18:00,42,Reference & Learning,Engineering & Technology,e
2022-08-19,18:00,38,Software Development,Editing & IDEs,e
2022-08-19,18:00,38,Software Development,Editing & IDEs,e
2022-08-19,18:00,36,Software Development,General,e
2022-08-19,18:00,34,Utilities,General,e
