date,time,file,member,att_manual_0,att_manual_1,att_manual_2,att_manual_3,att_manual_4,att_model_0,att_model_1,att_model_2,att_model_3,att_model_4,valence,arousal,dominance
2022-08-24,14:38:00,20220824T1438_e.jpg,e,gray,shirt,burgundy,trousers,sneakers,sleeve,knit,striped,stripe,denim,0.566,0.300,0.303
2022-08-25,09:24:00,20220825T0924_e.jpg,e,gray,sport,black,pants,sock,sleeve,knit,striped,lace,maxi,0.593,0.335,0.367
2022-08-26,09:59:00,20220826T0959_e.jpg,e,green,buttonup,black,pants,sock,knit,sleeve,striped,denim,lace,0.601,0.264,0.319
2022-09-09,11:08:00,20220909T1108_e.jpg,e,green,rolledup,black,pants,shoes,sleeve,knit,denim,wash,leather,0.677,0.317,0.292
2022-09-17,21:39:00,20220917T2139_e.jpg,e,gray,jacket,gray,trackpants,shoes,sleeve,knit,denim,lace,maxi,0.514,0.233,0.242
2022-09-24,07:00:00,20220924T0700_e.jpg,e,graphic,t-shirt,gray,trackpants,sock,knit,sleeve,striped,denim,maxi,0.563,0.275,0.314
2022-09-25,00:34:00,20220925_0034_e.jpg,e,green,buttonup,black,pants,sock,sleeve,knit,striped,lace,denim,0.601,0.264,0.319
2022-09-25,11:32:00,20220925T1132_e.jpg,e,green,buttonup,black,pants,sock,knit,sleeve,striped,denim,maxi,0.601,0.264,0.319
2022-09-26,14:19:00,20220926T1419_e.jpg,e,gray,sport,black,pants,brown,sleeve,knit,denim,maxi,striped,0.567,0.344,0.368
2022-09-27,10:18:00,20220927T1018_e.jpg,e,gray,sport,black,pants,green,sleeve,knit,denim,striped,maxi,0.626,0.370,0.378
2022-09-28,11:13:00,20220928T1113_e.jpg,e,blue,t-shirt,barefoot,shorts,sport,sleeve,knit,denim,striped,lace,0.679,0.395,0.352
2022-09-29,19:57:00,20220929_1957_e.jpg,e,gray,bathrobe,barefoot,dark,robe,sleeve,knit,striped,maxi,denim,0.421,0.316,0.310
2022-09-30,09:08:00,20220930T0908_e.jpg,e,grey,shirt,burgundy,trousers,barefoot,sleeve,knit,striped,denim,maxi,0.529,0.253,0.302
2022-10-01,17:37:00,20221001T1737_e.jpg,e,green,buttonup,burgundy,trousers,sock,sleeve,knit,denim,striped,lace,0.585,0.262,0.355
2022-10-02,10:34:00,20221002T1034_e.jpg,e,green,buttonup,pattern,pajamas,sock,sleeve,knit,denim,maxi,striped,0.582,0.266,0.388
2022-08-23,20:54:00,20220823T2054_f.JPG,f,black,jacket,pants,shirt,sock,sleeve,knit,striped,lace,stripe,0.632,0.244,0.309
2022-08-25,22:28:00,20220825T2228_f.JPG,f,navy,t-shirt,black,pants,sock,sleeve,knit,striped,denim,lace,0.630,0.383,0.418
2022-08-27,19:31:00,20220827T1931_f.JPG,f,black,t-shirt,pants,sock,tight,sleeve,knit,striped,stripe,denim,0.663,0.258,0.302
2022-08-28,20:28:00,20220828T2028_f.JPG,f,black,jacket,gray,pants,puffer,knit,sleeve,striped,lace,denim,0.555,0.258,0.301
2022-08-31,21:39:00,20220831T2139_f.JPG,f,black,t-shirt,gray,pants,baggy,sleeve,knit,striped,maxi,denim,0.586,0.259,0.314
2022-09-02,00:01:00,20220902T0001_f.JPG,f,black,t-shirt,graphic,baggy,pants,sleeve,knit,striped,denim,lace,0.653,0.345,0.390
2022-09-07,21:38:00,20220907T2138_f.JPG,f,black,t-shirt,gray,baggy,pants,sleeve,knit,denim,striped,lace,0.586,0.259,0.314
2022-09-11,21:00:00,20220911T2100_f.JPG,f,black,pants,t-shirt,baggy,plain,knit,sleeve,striped,lace,stripe,0.627,0.263,0.345
2022-09-14,22:23:00,20220914T2223_f.JPG,f,navy,graphic,t-shirt,tight,pants,knit,sleeve,striped,denim,maxi,0.655,0.465,0.468
2022-09-17,21:33:00,20220917T2133_f.jpg,f,gray,graphic,t-shirt,black,pants,sleeve,knit,striped,denim,lace,0.606,0.313,0.324
2022-09-19,21:22:00,20220919T2122_f.jpg,f,white,t-shirt,graphic,baggy,sock,knit,sleeve,leather,denim,striped,0.609,0.306,0.379
2022-09-22,21:15:00,20220922T2115_f.jpg,f,black,t-shirt,plain,pants,tight,sleeve,knit,wash,leather,maxi,0.663,0.258,0.309
2022-09-24,21:49:00,20220924T2149_f.jpg,f,white,plain,baggy,t-shirt,shorts,sleeve,knit,lace,striped,denim,0.615,0.303,0.334
2022-09-25,23:16:00,20220925T2316_f.JPG,f,gray,graphic,t-shirt,baggy,shorts,sleeve,print,knit,denim,maxi,0.579,0.338,0.341
2022-08-22,19:39:00,20220822T1939_g.jpg,g,black,letters,t-shirt,shorts,sneaker,knit,sleeve,striped,stripe,denim,0.724,0.393,0.331
2022-08-24,11:56:00,20220824T1156_g.jpg,g,black,letters,t-shirt,shorts,sneaker,knit,sleeve,striped,stripe,denim,0.724,0.393,0.331
2022-08-25,19:07:00,20220825T1907_g.jpg,g,black,t-shirt,blue,plaid,shorts,sleeve,knit,striped,denim,stripe,0.641,0.308,0.320
2022-08-28,21:49:00,20220828T2149_g.jpg,g,black,t-shirt,plain,pants,sock,knit,sleeve,striped,denim,stripe,0.622,0.235,0.304
2022-08-29,21:41:00,20220829T2141_g.jpg,g,blue,graphic,t-shirt,pants,sock,sleeve,knit,striped,lace,denim,0.647,0.281,0.338
2022-09-03,14:21:00,20220903T1421_g.jpg,g,blue,graphic,t-shirt,watch,pants,sleeve,denim,knit,print,maxi,0.653,0.317,0.364
2022-09-13,21:22:00,20220913T2122_g.jpg,g,blue,t-shirt,watch,pants,sneaker,sleeve,knit,striped,denim,stripe,0.692,0.314,0.344
2022-09-16,09:47:00,20220916T0947_g.jpg,g,blue,t-shirt,plain,pants,sock,sleeve,knit,maxi,denim,print,0.627,0.215,0.302
2022-09-27,18:18:00,20220927T1818_g.jpg,g,blue,graphic,t-shirt,plain,pants,knit,sleeve,striped,denim,stripe,0.647,0.281,0.342
2022-09-29,07:41:00,20220929T0741_g.jpg,g,black,letters,t-shirt,watch,sneaker,sleeve,knit,maxi,striped,stripe,0.701,0.359,0.365
